jobs,code,count,mean,std,min,25%,50%,75%,max,rel_std
"['Park Naturalists', 'Soil and Water Conservationists', 'Range Managers', 'Foresters']",19-103,4.0,52.5,14.6401275039985,41.0,42.5,48.0,58.0,73.0,0.27885957150473334
"['Financial Managers, Branch or Department', 'Treasurers and Controllers']",11-303,2.0,44.0,12.727922061357855,35.0,39.5,44.0,48.5,53.0,0.2892709559399513
"['Physicists', 'Astronomers']",19-201,2.0,39.0,11.313708498984761,31.0,35.0,39.0,43.0,47.0,0.290095089717558
"['Driver/Sales Workers', 'Light Truck or Delivery Services Drivers', 'Heavy and Tractor-Trailer Truck Drivers']",53-303,3.0,62.0,18.027756377319946,42.0,54.5,67.0,72.0,77.0,0.2907702641503217
"['Fiberglass Laminators and Fabricators', 'Team Assemblers', 'Timing Device Assemblers and Adjusters']",51-209,3.0,64.66666666666667,19.03505538035898,45.0,55.5,66.0,74.5,83.0,0.29435652650039656
"['First-Line Supervisors of Retail Sales Workers', 'First-Line Supervisors of Non-Retail Sales Workers']",41-101,2.0,54.5,16.263455967290593,43.0,48.75,54.5,60.25,66.0,0.2984120360970751
"['Grinding and Polishing Workers, Hand', 'Mixing and Blending Machine Setters, Operators, and Tenders', 'Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders']",51-902,3.0,45.333333333333336,13.796134724383252,35.0,37.5,40.0,50.5,61.0,0.30432650127315997
"['Medical Secretaries', 'Secretaries and Administrative Assistants, Except Legal, Medical, and Executive', 'Legal Secretaries', 'Executive Secretaries and Executive Administrative Assistants']",43-601,4.0,48.5,15.088627063675034,39.0,40.5,42.0,50.0,71.0,0.3111057126530935
"['Statement Clerks', 'Billing, Cost, and Rate Clerks']",43-302,2.0,59.0,18.384776310850235,46.0,52.5,59.0,65.5,72.0,0.31160637815000397
"['First-Line Supervisors of Aquacultural Workers', 'First-Line Supervisors of Agricultural Crop and Horticultural Workers', 'First-Line Supervisors of Animal Husbandry and Animal Care Workers', 'First-Line Supervisors of Logging Workers']",45-101,4.0,45.5,14.479871085982314,32.0,38.75,42.0,48.75,66.0,0.31823892496664424
"['Actors', 'Directors- Stage, Motion Pictures, Television, and Radio', 'Technical Directors/Managers', 'Producers', 'Program Directors', 'Talent Directors']",27-201,6.0,63.0,20.29778313018444,40.0,47.5,65.5,69.25,95.0,0.3221870338124514
"['Midwives', 'Athletic Trainers', 'Genetic Counselors']",29-909,3.0,78.0,26.851443164195103,47.0,70.0,93.0,93.5,94.0,0.34424927133583466
"['Food Cooking Machine Operators and Tenders', 'Food Batchmakers', 'Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders']",51-309,3.0,54.666666666666664,19.03505538035898,35.0,45.5,56.0,64.5,73.0,0.34820223256754235
"['Cutting and Slicing Machine Setters, Operators, and Tenders', 'Cutters and Trimmers, Hand']",51-903,2.0,45.5,16.263455967290593,34.0,39.75,45.5,51.25,57.0,0.35743859268770534
"['Tailors, Dressmakers, and Custom Sewers', 'Sewers, Hand']",51-605,2.0,50.0,18.384776310850235,37.0,43.5,50.0,56.5,63.0,0.3676955262170047
"['Assessors', 'Appraisers, Real Estate']",13-202,2.0,46.0,16.97056274847714,34.0,40.0,46.0,52.0,58.0,0.36892527714080736
"['Cooks, Restaurant', 'Cooks, Institution and Cafeteria', 'Cooks, Short Order', 'Cooks, Fast Food', 'Cooks, Private Household']",35-201,5.0,60.6,23.028243528328424,21.0,65.0,66.0,70.0,81.0,0.3800040186192809
"['Loading Machine Operators, Underground Mining', 'Excavating and Loading Machine and Dragline Operators', 'Dredge Operators']",53-703,3.0,42.0,16.09347693943108,27.0,33.5,40.0,49.5,59.0,0.3831780223674067
"['Farmworkers, Farm, Ranch, and Aquacultural Animals', 'Agricultural Equipment Operators', 'Nursery Workers', 'Farmworkers and Laborers, Crop']",45-209,4.0,41.5,16.583123951777,24.0,35.25,39.0,45.25,64.0,0.3995933482355904
"['Singers', 'Musicians, Instrumental', 'Music Directors', 'Music Composers and Arrangers']",27-204,4.0,67.25,27.17075633838705,32.0,53.75,71.5,85.0,94.0,0.4040261165559413
"['Landscaping and Groundskeeping Workers', 'Tree Trimmers and Pruners', 'Pesticide Handlers, Sprayers, and Applicators, Vegetation']",37-301,3.0,54.666666666666664,23.797758998135375,29.0,44.0,59.0,67.5,76.0,0.4353248597219886
"['Editors', 'Copy Writers', 'Technical Writers', 'Poets, Lyricists and Creative Writers']",27-304,4.0,39.75,17.858238061652855,14.0,35.0,45.5,50.25,54.0,0.449263850607619
"['Gas Compressor and Gas Pumping Station Operators', 'Pump Operators, Except Wellhead Pumpers', 'Wellhead Pumpers']",53-707,3.0,45.666666666666664,24.131583730317686,19.0,35.5,52.0,59.0,66.0,0.5284288408098764
"['Architecture Teachers, Postsecondary', 'Engineering Teachers, Postsecondary']",25-103,2.0,54.5,30.405591591021544,33.0,43.75,54.5,65.25,76.0,0.55790076313801
"['Art Directors', 'Multimedia Artists and Animators', 'Craft Artists', 'Fine Artists, Including Painters, Sculptors, and Illustrators']",27-101,4.0,38.75,22.51480994071828,9.0,27.75,43.5,54.5,59.0,0.5810273533088588
"['Log Graders and Scalers', 'Logging Equipment Operators', 'Fallers']",45-402,3.0,23.0,21.93171219946131,7.0,10.5,14.0,31.0,48.0,0.9535527043244048
